x,y
0,30
1,30.9
2,31.8
3,32.7
4,33.6
5,34.5
6,35.4
7,36.3
8,37.2
9,38.1
10,39
11,39.9
12,40.8
13,41.7
14,42.6
15,43.5
16,44.4
17,45.3
18,46.2
19,47.1
20,48
21,48.9
22,49.8
23,50.7
24,51.6
25,52.5
26,53.4
27,54.3
28,55.2
29,56.1
30,57
31,57.9
32,58.8
33,59.7
34,60.6
35,61.5
36,62.4
37,63.3
38,64.2
39,65.1
40,66
41,66.9
42,67.8
43,68.7
44,69.6
45,70.5
46,71.4
47,72.3
48,73.2
49,74.1
50,75
51,75.9
52,76.8
53,77.7
54,78.6
55,79.5
56,80.4
57,81.3
58,82.2
59,83.1
60,84
61,84.9
62,85.8
63,86.7
64,87.6
65,88.5
66,89.4
67,90.3
68,91.2
69,92.1
70,93
71,93.9
72,94.8
73,95.7
74,96.6
75,97.5
76,98.4
77,99.3
78,100.2
79,101.1
80,102
81,102.9
82,103.8
83,104.7
84,105.6
85,106.5
86,107.4
87,108.3
88,109.2
89,110.1
90,111
91,111.9
92,112.8
93,113.7
94,114.6
95,115.5
96,116.4
97,117.3
98,118.2
99,119.1
